Linac Beam 
1.1855646893e+01 2.3329110940e+00 2.3328265360e+00 
1.1856940000e+01 2.3329110940e+00 2.3328265360e+00 
1.1937540000e+01 2.3329110940e+00 2.3328265360e+00 
1.1949782268e+01 2.3329128643e+00 2.3328283281e+00 
1.1962024536e+01 2.3327030763e+00 2.3326186197e+00 
1.1974266804e+01 2.3307028107e+00 2.3306185111e+00 
1.1986509071e+01 2.3191841723e+00 2.3190989994e+00 
1.1998751339e+01 2.2864980052e+00 2.2864047081e+00 
1.2010993607e+01 2.2664826498e+00 2.2663690910e+00 
1.2023235875e+01 2.3015033559e+00 2.3013686076e+00 
1.2035478143e+01 2.3713952902e+00 2.3712496107e+00 
1.2047720411e+01 2.4152616537e+00 2.4151153502e+00 
1.2059962678e+01 2.4242002831e+00 2.4240548825e+00 
1.2072204946e+01 2.4228928441e+00 2.4227467664e+00 
1.2084447214e+01 2.4291516598e+00 2.4290016595e+00 
1.2096689482e+01 2.4808519239e+00 2.4806952724e+00 
1.2108931750e+01 2.5769309149e+00 2.5767713935e+00 
1.2121174018e+01 2.6685388018e+00 2.6683812184e+00 
1.2133416286e+01 2.7107488573e+00 2.7105941528e+00 
1.2145658553e+01 2.7153516122e+00 2.7151979182e+00 
1.2157900821e+01 2.7142491145e+00 2.7140955339e+00 
1.2170143089e+01 2.7137625400e+00 2.7136089603e+00 
1.2182385357e+01 2.7136483745e+00 2.7134947930e+00 
1.2187540000e+01 2.7136322902e+00 2.7134787084e+00 
1.2242740000e+01 2.7136322902e+00 2.7134787084e+00 
1.2256693488e+01 2.7136322902e+00 2.7134787084e+00 
1.2270646977e+01 2.7136322902e+00 2.7134787084e+00 
1.2284600465e+01 2.7136322902e+00 2.7134787084e+00 
1.2298553953e+01 2.7136322902e+00 2.7134787084e+00 
1.2312507442e+01 2.7136322902e+00 2.7134787084e+00 
1.2326460930e+01 2.7136322902e+00 2.7134787084e+00 
1.2340414418e+01 2.7136322902e+00 2.7134787084e+00 
1.2354367907e+01 2.7136322902e+00 2.7134787084e+00 
1.2368321395e+01 2.7136322902e+00 2.7134787084e+00 
1.2382274883e+01 2.7136322902e+00 2.7134787084e+00 
1.2396228372e+01 2.7136322902e+00 2.7134787084e+00 
1.2410181860e+01 2.7136322902e+00 2.7134787084e+00 
1.2424135348e+01 2.7136322902e+00 2.7134787084e+00 
