ELE# 1 : 0.25 m
-3.019863e-08 -9.186155e-09 +1.191999e-04 -3.534820e-05 +7.151597e-01 +1.081851e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 38 : 1.37 m
-1.010082e+00 +1.806378e-01 -4.317638e-04 +3.560432e-05 -2.366765e-08 -1.080258e-07 
-4.967197e+00 -1.017107e-01 -1.766637e-03 +1.458518e-04 -4.254432e-07 -7.673957e-07 
+1.509711e-04 +4.157531e-05 -2.697921e+00 +3.315121e-01 -2.956855e-04 -1.220260e-04 
+7.042442e-05 +1.888821e-05 +6.602527e+00 -1.181954e+00 +1.203313e-03 +1.277844e-03 
-3.019863e-08 -9.186155e-09 +1.191999e-04 -3.534820e-05 +7.151597e-01 +1.081851e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 39 : 1.47 m
-1.341833e+00 +1.456337e-01 -5.395929e-04 +4.451242e-05 -6.088898e-08 -1.660086e-07 
-1.508344e+00 -5.815432e-01 -3.381077e-04 +2.802780e-05 -3.010897e-07 -3.643858e-07 
+1.805477e-04 +4.966725e-05 -2.402209e+00 +2.563114e-01 -2.129788e-04 -5.977002e-06 
+5.351895e-04 +1.468036e-04 -5.474818e-01 -3.578681e-01 +4.902031e-04 +1.098393e-03 
-3.817968e-08 -1.164697e-08 +7.379957e-05 -3.167738e-05 +6.386085e-01 +1.105248e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 40 : 1.47 m
-1.341833e+00 +1.456337e-01 -5.395929e-04 +4.451242e-05 -6.088898e-08 -1.660086e-07 
-1.508344e+00 -5.815432e-01 -3.381077e-04 +2.802780e-05 -3.010897e-07 -3.643858e-07 
+1.805477e-04 +4.966725e-05 -2.402209e+00 +2.563114e-01 -2.129788e-04 -5.977002e-06 
+5.351895e-04 +1.468036e-04 -5.474818e-01 -3.578681e-01 +4.902031e-04 +1.098393e-03 
-3.817968e-08 -1.164697e-08 +7.379957e-05 -3.167738e-05 +6.386085e-01 +1.105248e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 41 : 1.52 m
-1.417250e+00 +1.165566e-01 -5.564983e-04 +4.591381e-05 -7.594347e-08 -1.842279e-07 
-1.508344e+00 -5.815432e-01 -3.381077e-04 +2.802780e-05 -3.010897e-07 -3.643858e-07 
